chozodecal01_bc maps\textures\chozodecal01_bc.bctex
glow_big system\fx\textures\glow_big.bctex
shaft_l system\fx\textures\shaft_l.bctex
aquarock01x3rock_bc maps\textures\aquarock01x3rock_bc.bctex
chozomagassetn_05_at maps\textures\chozomagassetn_05_at.bctex
i_basetank_bc actors\items\item_missiletank\models\textures\i_basetank_bc.bctex
doorchargeclosed_bc actors\props\doorclosedcharge\models\textures\doorchargeclosed_bc.bctex
blindfly_bc actors\characters\blindfly\models\textures\blindfly_bc.bctex
chozomatmetalblue04_nm maps\textures\chozomatmetalblue04_nm.bctex
rockdiver_nm actors\characters\rockdiver\models\textures\rockdiver_nm.bctex
mattepaintingbackgroundcave12_bc maps\textures\mattepaintingbackgroundcave12_bc.bctex
points_degr actors\props\maproom\fx\textures\points_degr.bctex
line_verticalnoise system\fx\textures_zdr\line_verticalnoise.bctex
cavcrystal07_at maps\textures\cavcrystal07_at.bctex
noise_blured02 actors\props\capsuleelevatorskybase\fx\textures\noise_blured02.bctex
magdigrockbglava01_bc maps\textures\magdigrockbglava01_bc.bctex
sand_normal_nm maps\textures\sand_normal_nm.bctex
difmode_hard gui\textures\difmode_hard.bctex
cavematpuddle01_at maps\textures\cavematpuddle01_at.bctex
lightproyectsquare02 maps\textures\lightproyectsquare02.bctex
fluid02 actors\weapons\scorpiuspoisonousspit\fx\textures\fluid02.bctex
chozosancfullflag01alpha_nm maps\textures\chozosancfullflag01alpha_nm.bctex
noise_1 actors\weapons\scorpiuspoisonousspit\fx\textures\noise_1.bctex
chozocommander_muzzle02 system\fx\textures_zdr\chozocommander_muzzle02.bctex
weightactivatedplatform_generator_bc actors\props\weightactivatedplatform_generator\models\textures\weightactivatedplatform_generator_bc.bctex
destuctibleblock_at maps\textures\destuctibleblock_at.bctex
hybrid_pv5_bc actors\characters\hybrid_pv5\models\textures\hybrid_pv5_bc.bctex
rayarc_tile_02 system\fx\textures_zdr\rayarc_tile_02.bctex
blue_energy01 maps\textures\blue_energy01.bctex
water_loop_pos actors\props\platformcavewaterb\fx\textures\water_loop_pos.bctex
destroyer_nm actors\characters\core_x\models\textures\destroyer_nm.bctex
kraidprisonstatue01_nm maps\textures\kraidprisonstatue01_nm.bctex
bigkranx_at actors\characters\bigkranx\models\textures\bigkranx_at.bctex
chozosancstatue03_nm maps\textures\chozosancstatue03_nm.bctex
fire01 actors\characters\obsydomithon\fx\textures\fire01.bctex
doorshutter_nm actors\props\doorshutter\models\textures\doorshutter_nm.bctex
chozomatmetalgray12_bc maps\textures\chozomatmetalgray12_bc.bctex
magma_vertical_2specularhdr maps\cubemaps\9_9\magma_vertical_2specularhdr.bctex
cavpathcrystal01_bc maps\textures\cavpathcrystal01_bc.bctex
rock_c_bc maps\textures\rock_c_bc.bctex
texturetext_stickclockwise gui\textures\texturetext_stickclockwise.bctex
platform01_at maps\textures\platform01_at.bctex
goliath2_nm actors\characters\goliath\models\textures\goliath2_nm.bctex
liquid_dark_splash_01 system\fx\textures_zdr\liquid_dark_splash_01.bctex
aquarockwall04x3rock_bc maps\textures\aquarockwall04x3rock_bc.bctex
chozomatpipes08_nm maps\textures\chozomatpipes08_nm.bctex
aquarockwall03x3rock_bc maps\textures\aquarockwall03x3rock_bc.bctex
aquadigrock02_bc maps\textures\aquadigrock02_bc.bctex
forestrock03_bc maps\textures\forestrock03_bc.bctex
noise3 actors\characters\samus\models\textures\noise3.bctex
magdigrockplatformlava01_nm maps\textures\magdigrockplatformlava01_nm.bctex
powerbeam_impact_chargeddetail02 system\fx\textures_zdr\powerbeam_impact_chargeddetail02.bctex
debris_metalpiece system\fx\textures_zdr\debris_metalpiece.bctex
cavpathrock04v3_bc maps\textures\cavpathrock04v3_bc.bctex
teleportertorre_frozen_bc actors\props\teleporter\models\textures\teleportertorre_frozen_bc.bctex
pistil_bc actors\characters\hydrogiga\models\textures\pistil_bc.bctex
kreep_nm actors\characters\kreep\models\textures\kreep_nm.bctex
lightning_segment_l system\fx\textures\lightning_segment_l.bctex
chozomatconcreteblue02_at maps\textures\chozomatconcreteblue02_at.bctex
chozopathnormalzone_nm maps\textures\chozopathnormalzone_nm.bctex
chozobase2statue01_nm maps\textures\chozobase2statue01_nm.bctex
chozoalltunnelbg01corner_bc maps\objects\chozoalltunnelbg01corner\textures\chozoalltunnelbg01corner_bc.bctex
splash04 maps\fx\splash00\fx\textures\splash04.bctex
chozomatmetalpurple01_nm maps\textures\chozomatmetalpurple01_nm.bctex
m_insidediffusehdr maps\cubemaps\definitivos\m_insidediffusehdr.bctex
aquarockwall04x3rock_nm maps\textures\aquarockwall04x3rock_nm.bctex
aquarock04x4simple_bc maps\textures\aquarock04x4simple_bc.bctex
splash_impact_norm timelines\x_transformation\fx\textures\splash_impact_norm.bctex
checkergrey01_nm maps\textures\checkergrey01_nm.bctex
noise system\engine\textures\noise.bctex
chozobaseproplaser01_bc maps\textures\chozobaseproplaser01_bc.bctex
hydro_tile_at actors\characters\hydrogiga\models\textures\hydro_tile_at.bctex
chozosancwall01_bc maps\textures\chozosancwall01_bc.bctex
tomoco_mirrorspecularhdr maps\cubemaps\tomoco_mirrorspecularhdr.bctex
chozoletters system\fx\generic\textures\chozoletters.bctex
chozomatmetalgreen08_nm maps\textures\chozomatmetalgreen08_nm.bctex
chozodecal010_nm maps\textures\chozodecal010_nm.bctex
chozomatconcreteblue10_nm maps\textures\chozomatconcreteblue10_nm.bctex
marbleblue01_at maps\textures\marbleblue01_at.bctex
glow_long maps\fx\chozonumbers\fx\textures\glow_long.bctex
noise_blured actors\weapons\powerbeam\models\textures\noise_blured.bctex
groundshocker_at actors\characters\groundshocker\models\textures\groundshocker_at.bctex
rockforestplatform01x4v1_nm maps\textures\rockforestplatform01x4v1_nm.bctex
energytank_at actors\items\item_energytank\models\textures\energytank_at.bctex
water_end_pos2 actors\props\platformcavewaterb\fx\textures\water_end_pos2.bctex
planteater_cuerpo_nm actors\characters\planteater\models\textures\planteater_cuerpo_nm.bctex
totalrechargestationstatue_at actors\props\totalrechargestation\models\textures\totalrechargestationstatue_at.bctex
aqua_v2specularhdr maps\cubemaps\20_9\aqua_v2specularhdr.bctex
texturetext_l_20 gui\textures\texturetext_l_20.bctex
noise_clouds actors\weapons\cooldownxbosswindtunneldamagetrigger\fx\textures\noise_clouds.bctex
chozoaqwallset01_nm maps\textures\chozoaqwallset01_nm.bctex
gravity_hand_at actors\characters\samus\models\textures\gravity_hand_at.bctex
specialburst_backburst_center system\fx\textures_zdr\specialburst_backburst_center.bctex
gradient system\fx\textures\gradient.bctex
fire_generic_bw_03 system\fx\textures_zdr\fire_generic_bw_03.bctex
forestgoundgreen01_bc maps\textures\forestgoundgreen01_bc.bctex
doorchargeclosed_nm actors\props\doorchargeclosed\models\textures\doorchargeclosed_nm.bctex
forestmoss02_nm maps\textures\forestmoss02_nm.bctex
aquarock04x4_bc maps\textures\aquarock04x4_bc.bctex
commoncubespecularhdr maps\cubemaps\commoncubespecularhdr.bctex
mossdecal02_bc maps\textures\mossdecal02_bc.bctex
bubbles_0 system\fx\textures_zdr\bubbles_0.bctex
mudwave02fx_nor actors\characters\chozowarriorx\fx\textures\mudwave02fx_nor.bctex
chozobgmag02_bc maps\textures\chozobgmag02_bc.bctex
chozomatmetalwhite04_at maps\textures\chozomatmetalwhite04_at.bctex
rock_b_bc maps\textures\rock_b_bc.bctex
powerup_morphball_d actors\items\powerup_spiderball\models\textures\powerup_morphball_d.bctex
cavpathrock03v6_at maps\textures\cavpathrock03v6_at.bctex
cloud actors\weapons\icemissile\fx\textures\cloud.bctex
rocklciclechest_d actors\spawnpoints\spawnpointrockicicle\models\textures\rocklciclechest_d.bctex
powerbomb_at actors\weapons\powerbomb\models\textures\powerbomb_at.bctex
texturetext_big_a gui\textures\texturetext_big_a.bctex
cavpathrock04v6_bc maps\textures\cavpathrock04v6_bc.bctex
rockforestplatform01x1v3_bc maps\textures\rockforestplatform01x1v3_bc.bctex
pistonmagma_at actors\props\pistonmag01\models\textures\pistonmagma_at.bctex
cavrockbackground05_nm maps\textures\cavrockbackground05_nm.bctex
aquarockwall01x3simple_nm maps\textures\aquarockwall01x3simple_nm.bctex
chozomatpipes03_at maps\textures\chozomatpipes03_at.bctex
flags02_nm maps\textures\flags02_nm.bctex
warlotus_ice_01_bc actors\characters\warlotus\models\textures\warlotus_ice_01_bc.bctex
chozozombiexbody_bc actors\characters\chozozombiex\models\textures\chozozombiexbody_bc.bctex
backburst_center actors\weapons\depthornball\fx\textures\backburst_center.bctex
doorshieldmissile_bc actors\props\doorshieldmissile\models\textures\doorshieldmissile_bc.bctex
shipyardrock06_bc maps\textures\shipyardrock06_bc.bctex
debugbase_bc maps\textures\debugbase_bc.bctex
mask_hard system\fx\textures_zdr\mask_hard.bctex
cavrock07_nm maps\textures\cavrock07_nm.bctex
emmy5_test_1diffusehdr maps\cubemaps\pruebas\emmy5_test_1diffusehdr.bctex
custom_ice_block_nm actors\props\custom_ice_block\models\textures\custom_ice_block_nm.bctex
chozomatmetalgray07_nm maps\textures\chozomatmetalgray07_nm.bctex
watermatdirty01_at maps\textures\watermatdirty01_at.bctex
gold01_at maps\textures\gold01_at.bctex
texturetext_locked gui\textures\texturetext_locked.bctex
quarentinemuralastronomy_bc maps\textures\quarentinemuralastronomy_bc.bctex
glowflyexplode system\fx\textures\glowflyexplode.bctex
marbleblue02_nm maps\textures\marbleblue02_nm.bctex
kraid_barriga_bc actors\characters\kraid\models\textures\kraid_barriga_bc.bctex
dredhed_at actors\characters\dredhed\models\textures\dredhed_at.bctex
hybrid_pv5_at actors\characters\hybrid_pv5\models\textures\hybrid_pv5_at.bctex
chozomatconcreteblue03_nm maps\textures\chozomatconcreteblue03_nm.bctex
autool_at actors\characters\autool\models\textures\autool_at.bctex
magkraidheadcorridor01_bc maps\textures\magkraidheadcorridor01_bc.bctex
bubble_inside_splash system\fx\textures_zdr\bubble_inside_splash.bctex
chozomatmetalgreen01_nm maps\textures\chozomatmetalgreen01_nm.bctex
cavrockbackground05_at maps\textures\cavrockbackground05_at.bctex
cavbug02_bc maps\textures\cavbug02_bc.bctex
capsule_roof_hatch_bc actors\props\capsuleroofhatch\models\textures\capsule_roof_hatch_bc.bctex
platform01_bc maps\textures\platform01_bc.bctex
rustdecal02_at maps\textures\rustdecal02_at.bctex
water_loop_pos2 actors\props\platformcavewaterb\fx\textures\water_loop_pos2.bctex
chozoallcorner01a_at maps\objects\chozoallcorner01a\textures\chozoallcorner01a_at.bctex
aquarocksalt03rocksimple_bc maps\textures\aquarocksalt03rocksimple_bc.bctex
noise_blured_red actors\characters\warlotus\fx\textures\noise_blured_red.bctex
powbexplobb system\fx\textures\powbexplobb.bctex
yellow_energy01_nm maps\textures\yellow_energy01_nm.bctex
doorcaveatrium_at actors\props\doorcaveatrium\models\textures\doorcaveatrium_at.bctex
chozoaquagrid01_nm maps\textures\chozoaquagrid01_nm.bctex
chozopathmagtileset_nm maps\textures\chozopathmagtileset_nm.bctex
watermattopt01_at maps\textures\watermattopt01_at.bctex
takumaku_at actors\characters\takumaku\models\textures\takumaku_at.bctex
darkblue07_bc maps\textures\darkblue07_bc.bctex
lines_iceflea system\fx\textures_zdr\lines_iceflea.bctex
teleporterdirection_at actors\props\teleporter\models\textures\teleporterdirection_at.bctex
cavpathrock01_at maps\textures\cavpathrock01_at.bctex
chozomagassetn_02_nm maps\textures\chozomagassetn_02_nm.bctex
chozomatpipes10_nm maps\textures\chozomatpipes10_nm.bctex
gasmist02 maps\fx\emmymist02\fx\textures\gasmist02.bctex
box_grapple_mg_001_at actors\props\box_grapple_mg_001\models\textures\box_grapple_mg_001_at.bctex
chozoallmecharm01_nm maps\textures\chozoallmecharm01_nm.bctex
ev_gatesealed_at actors\props\ev_gatesealed\models\textures\ev_gatesealed_at.bctex
chozoborderemmy02_nm maps\textures\chozoborderemmy02_nm.bctex
emmydestoyed_nm actors\characters\emmycave\models\textures\emmydestoyed_nm.bctex
chozoalltunnelbg01x3_bc maps\objects\chozoalltunnelbg01x3\textures\chozoalltunnelbg01x3_bc.bctex
grass02_nm maps\textures\grass02_nm.bctex
cavrockbackground04_nm maps\textures\cavrockbackground04_nm.bctex
mudmatcave08_nm maps\textures\mudmatcave08_nm.bctex
dockautool_nm actors\spawnpoints\spawnpointautool\models\textures\dockautool_nm.bctex
mapev_disectedcreature_at actors\events\mapev_disectedcreature\models\textures\mapev_disectedcreature_at.bctex
line_segments_l system\fx\textures\line_segments_l.bctex
energy system\fx\textures\energy.bctex
commanderhead_cine_bc actors\characters\chozocommander\models\textures\commanderhead_cine_bc.bctex
dooremmyice_nm actors\props\dooremmy\models\textures\dooremmyice_nm.bctex
mineral_bc maps\textures\mineral_bc.bctex
cave_1diffusehdr maps\cubemaps\19-8\cave_1diffusehdr.bctex
texturetext_lstick_20 gui\textures\texturetext_lstick_20.bctex
chozoemmywall02_bc maps\textures\chozoemmywall02_bc.bctex
cave_basediffusehdr maps\cubemaps\test\cave_basediffusehdr.bctex
noise_sticky_invert system\fx\textures_zdr\noise_sticky_invert.bctex
powergenengine_a_bc actors\props\powergeneratorengine\models\textures\powergenengine_a_bc.bctex
chozoalltunnelbg01x3_nm maps\objects\chozoalltunnelbg01x3\textures\chozoalltunnelbg01x3_nm.bctex
chozoallscaffold01_nm maps\textures\chozoallscaffold01_nm.bctex
waterspawn system\fx\textures\waterspawn.bctex
chozomatmetalwhite05_nm maps\textures\chozomatmetalwhite05_nm.bctex
rockforest01_bc maps\textures\rockforest01_bc.bctex
rockbackground03_nm maps\textures\rockbackground03_nm.bctex
aquadigrock03_nm maps\textures\aquadigrock03_nm.bctex
aquarockwall01x3simple_bc maps\textures\aquarockwall01x3simple_bc.bctex
chozomatcircuits02_nm maps\textures\chozomatcircuits02_nm.bctex
ship_a_at maps\textures\ship_a_at.bctex
trail_smoke_a system\fx\textures_zdr\trail_smoke_a.bctex
chozomatconcretepurple01_bc maps\textures\chozomatconcretepurple01_bc.bctex
e_3_3diffusehdr maps\cubemaps\emmy\e_3_3diffusehdr.bctex
mudmatcave08_bc maps\textures\mudmatcave08_bc.bctex
chozoallcorner01a_bc maps\objects\chozoallcorner01a\textures\chozoallcorner01a_bc.bctex
distortion_halfmoon_rg system\fx\textures_zdr\distortion_halfmoon_rg.bctex
kraid_slime_hd system\fx\textures_zdr\kraid_slime_hd.bctex
a_bc actors\props\capsulelaunchershipyard\models\textures\a_bc.bctex
trail_generic system\fx\textures_zdr\trail_generic.bctex
doorchargeclosed_at actors\props\doorchargeclosed\models\textures\doorchargeclosed_at.bctex
noise_clouds2 system\fx\textures_zdr\noise_clouds2.bctex
texturetext_rstickcounterclockwise gui\textures\texturetext_rstickcounterclockwise.bctex
ca_4diffusehdr maps\cubemaps\caveaqua\ca_4diffusehdr.bctex
cavscorpiusbones_nm maps\textures\cavscorpiusbones_nm.bctex
gravity_nm actors\characters\samus\models\textures\gravity_nm.bctex
commanderwings_bc actors\characters\chozocommander\models\textures\commanderwings_bc.bctex
lightproyectsquare01 maps\textures\lightproyectsquare01.bctex
chozoemmybg01set01_bc maps\textures\chozoemmybg01set01_bc.bctex
hyper_face_bc actors\characters\samus_facial\models\textures\hyper_face_bc.bctex
centralunitcave02_nm actors\characters\centralunitcave\models\textures\centralunitcave02_nm.bctex
chozomatconcreteblue14_nm maps\textures\chozomatconcreteblue14_nm.bctex
specialrocket_impactenergybig2 system\fx\textures_zdr\specialrocket_impactenergybig2.bctex
chozocommander_muzzle system\fx\textures_zdr\chozocommander_muzzle.bctex
noise_clouds3 system\fx\textures_zdr\noise_clouds3.bctex
chozoemmywall01_bc maps\textures\chozoemmywall01_bc.bctex
chozohandrail01_bc maps\textures\chozohandrail01_bc.bctex
plantforestblue_at maps\textures\plantforestblue_at.bctex
magdigrocklava06_nm maps\textures\magdigrocklava06_nm.bctex
waterstream02_pos2 maps\fx\waterstream\textures\waterstream02_pos2.bctex
chozoborderemmy02x4_bc maps\textures\chozoborderemmy02x4_bc.bctex
chozobasebgasset01_nm maps\textures\chozobasebgasset01_nm.bctex
mapev_plant001_at actors\events\mapev_plant001\models\textures\mapev_plant001_at.bctex
noise_base actors\weapons\specialburst\models\textures\noise_base.bctex
cavegg01_at maps\textures\cavegg01_at.bctex
quetzoa_bc actors\characters\quetzoa\models\textures\quetzoa_bc.bctex
ringfresnel system\fx\textures_zdr\ringfresnel.bctex
chozomatmetalred05_bc maps\textures\chozomatmetalred05_bc.bctex
cave_v2specularhdr maps\cubemaps\19-8\cave_v2specularhdr.bctex
lava_bubbles_03 system\fx\textures_zdr\lava_bubbles_03.bctex
autector_bc actors\characters\autector\models\textures\autector_bc.bctex
magma_exteriordiffusehdr maps\cubemaps\definitivos\magma_exteriordiffusehdr.bctex
pistil_at actors\characters\hydrogiga\models\textures\pistil_at.bctex
splash_lavaexit_pos actors\characters\samus\fx\textures\splash_lavaexit_pos.bctex
watermattop01,1_nm maps\textures\watermattop01,1_nm.bctex
chozomagcolumn01_nm maps\textures\chozomagcolumn01_nm.bctex
camisa_bc actors\characters\chozoprofessor\models\textures\camisa_bc.bctex
chozoallassettube01_bc maps\textures\chozoallassettube01_bc.bctex
wagontrainplatformb_bc actors\props\wagontrainplatform\models\textures\wagontrainplatformb_bc.bctex
chozocommander_grain02 actors\characters\chozocommander\fx\textures\chozocommander_grain02.bctex
magnetglovezipline_bc maps\textures\magnetglovezipline_bc.bctex
fr2specularhdr maps\cubemaps\definitivos\fr.2specularhdr.bctex
spawnpointslidlemetallic_bc actors\spawnpoints\spawnpointslidlemetallic\models\textures\spawnpointslidlemetallic_bc.bctex
supergoliath_trail actors\characters\supergoliath\fx\textures\supergoliath_trail.bctex
chozomatmetalblue08_bc maps\textures\chozomatmetalblue08_bc.bctex
cloud00_lightdir maps\fx\cloudlightning\textures\cloud00_lightdir.bctex
chozoallbgemmy01set01_bc maps\textures\chozoallbgemmy01set01_bc.bctex
ringlines system\fx\textures_zdr\ringlines.bctex
ev_aquadrain_right_bc actors\props\ev_aquadrain_right\models\textures\ev_aquadrain_right_bc.bctex
gooplot_at actors\characters\gooshocker\models\textures\gooplot_at.bctex
planetazdr_at actors\props\planetzdr\models\textures\planetazdr_at.bctex
shotdecal01_bc maps\textures\shotdecal01_bc.bctex
testmats03_nm maps\textures\testmats03_nm.bctex
kistrike_flash cutscenes\0001gameintro_fight\fx\textures\kistrike_flash.bctex
chozomatpipes05_bc maps\textures\chozomatpipes05_bc.bctex
chozopathmag02_bc maps\textures\chozopathmag02_bc.bctex
chozogrid01_bc maps\textures\chozogrid01_bc.bctex
doorshieldpowerbomb_at actors\props\doorshieldpowerbomb\models\textures\doorshieldpowerbomb_at.bctex
chozodoor02_at maps\textures\chozodoor02_at.bctex
chozoforestpathwood01x1v1_bc maps\textures\chozoforestpathwood01x1v1_bc.bctex
ca_6specularhdr maps\cubemaps\caveaqua\ca_6specularhdr.bctex
chozoallbgemmy01set04_nm maps\textures\chozoallbgemmy01set04_nm.bctex
sparks_friction_p5b system\fx\textures_zdr\sparks_friction_p5b.bctex
rustdecal02_nm maps\textures\rustdecal02_nm.bctex
weightactivatedplatform_at actors\props\weightactivatedplatform\models\textures\weightactivatedplatform_at.bctex
spawnpointslidlewall_at actors\spawnpoints\spawnpointslidle\models\textures\spawnpointslidlewall_at.bctex
haloray system\fx\textures_zdr\haloray.bctex
specialcolumn01m_at maps\textures\specialcolumn01m_at.bctex
cavpathrock01v2_nm maps\textures\cavpathrock01v2_nm.bctex
sparks system\fx\textures\sparks.bctex
flash actors\characters\chozorobotsoldier\fx\textures\flash.bctex
gooplotevent01_nm actors\events\mapev_gooplot\models\textures\gooplotevent01_nm.bctex
emmymagmawhite_bc actors\characters\emmymagma\models\textures\emmymagmawhite_bc.bctex
chozoallbggenwall01_bc maps\objects\chozoallbggenwall06endl\textures\chozoallbggenwall01_bc.bctex
flare system\fx\textures\flare.bctex
cave_aqua_v1specularhdr maps\cubemaps\19-8\cave_aqua_v1specularhdr.bctex
coldzoneasset08_bc maps\textures\coldzoneasset08_bc.bctex
ringed_explosion system\fx\textures_zdr\ringed_explosion.bctex
platformcavmagnet3l2_nm actors\props\platformcavmagnet3l2\models\textures\platformcavmagnet3l2_nm.bctex
amiiboimage gui\textures\amiiboimage.bctex
largelightning2 system\fx\textures\largelightning2.bctex
commandercap_nm actors\characters\chozocommander\models\textures\commandercap_nm.bctex
texturetext_sl gui\textures\texturetext_sl.bctex
bubbles_00 maps\fx\underwaterfall\textures\bubbles_00.bctex
noise_energy actors\weapons\linebomb\fx\textures\noise_energy.bctex
chozomatmetalbrown06_nm maps\textures\chozomatmetalbrown06_nm.bctex
sabotoru02_bc actors\characters\sabotoru\models\textures\sabotoru02_bc.bctex
ir_magma gui\textures\ir_magma.bctex
chozo_hall_testdiffusehdr maps\cubemaps\chozo_hall_testdiffusehdr.bctex
chozomatpipes08_at maps\textures\chozomatpipes08_at.bctex
rockmatmagma01_at maps\textures\rockmatmagma01_at.bctex
watermatdirty01_bc maps\textures\watermatdirty01_bc.bctex
specialrocket_airwave system\fx\textures_zdr\specialrocket_airwave.bctex
e_3diffusehdr maps\cubemaps\emmy\e_3diffusehdr.bctex
noise_base_mask actors\weapons\specialburst\models\textures\noise_base_mask.bctex
chozobasebgwall06_nm maps\textures\chozobasebgwall06_nm.bctex
forestwallpath01v2_nm maps\textures\forestwallpath01v2_nm.bctex
chozomagassetn04_nm maps\textures\chozomagassetn04_nm.bctex
chozocavproto02_bc maps\textures\chozocavproto02_bc.bctex
chozobgquarantine03_nm maps\textures\chozobgquarantine03_nm.bctex
rock_d_bc maps\textures\rock_d_bc.bctex
skin01_nm maps\textures\skin01_nm.bctex
centralunitcave01_at actors\characters\centralunitcave\models\textures\centralunitcave01_at.bctex
coldzoneasset03_nm maps\textures\coldzoneasset03_nm.bctex
liquid system\fx\textures\liquid.bctex
woodbark02_bc maps\textures\woodbark02_bc.bctex
noisesmallthermal_l maps\textures\noisesmallthermal_l.bctex
noise_1 actors\fx\twotexparticles\fx\textures\noise_1.bctex
cubemap_005_3specularhdr maps\cubemaps\pruebas\cubemap_005_3specularhdr.bctex
chozomatmetalgray04_nm maps\textures\chozomatmetalgray04_nm.bctex
lensflare_03 system\fx\textures_zdr\lensflare_03.bctex
chozoaqwheeldevice_bc maps\textures\chozoaqwheeldevice_bc.bctex
chozomatmetalred06_bc maps\textures\chozomatmetalred06_bc.bctex
chozobaseassetadn03_bc maps\textures\chozobaseassetadn03_bc.bctex
rustdecal03_nm maps\textures\rustdecal03_nm.bctex
surfacefloor01 maps\textures\surfacefloor01.bctex
white01 maps\textures\white01.bctex
emmy5_test_01specularhdr maps\cubemaps\pruebas\emmy5_test_01specularhdr.bctex
warlotus_ice_01_nm actors\characters\warlotus\models\textures\warlotus_ice_01_nm.bctex
seat_at actors\props\samuship_int\models\textures\seat_at.bctex
fire_generic system\fx\textures_zdr\fire_generic.bctex
chozoshipvt02_bc maps\textures\chozoshipvt02_bc.bctex
powerup_supermissile_nm actors\items\powerup_supermissile\models\textures\powerup_supermissile_nm.bctex
ca_8diffusehdr maps\cubemaps\caveaqua\ca_8diffusehdr.bctex
forestmoss03_bc maps\textures\forestmoss03_bc.bctex
cavecolumcristal01_nm maps\textures\cavecolumcristal01_nm.bctex
chozomatpipes06_bc maps\textures\chozomatpipes06_bc.bctex
impact_spark system\fx\textures\impact_spark.bctex
chozosancstatue_bc maps\textures\chozosancstatue_bc.bctex
itemspherecoat actors\items\powerup_powerbomb\models\textures\itemspherecoat.bctex
chozomatmetalgreen02_at maps\textures\chozomatmetalgreen02_at.bctex
waves_noises system\fx\textures_zdr\waves_noises.bctex
breakable_block_screwattack_at maps\blocks\breakable_block_screwattack\textures\breakable_block_screwattack_at.bctex
clothes_nm actors\characters\chozoprofessor\models\textures\clothes_nm.bctex
sphere_break system\fx\textures_zdr\sphere_break.bctex
chozomatpaintedmetalred02_at maps\textures\chozomatpaintedmetalred02_at.bctex
ev_aquadrain_right_at actors\props\ev_aquadrain_right\models\textures\ev_aquadrain_right_at.bctex
sanddunes03_nm maps\textures\sanddunes03_nm.bctex
chozosancbgdoor_nm maps\textures\chozosancbgdoor_nm.bctex
chozosancwall01_nm maps\textures\chozosancwall01_nm.bctex
chozomatmetalgray02_bc maps\textures\chozomatmetalgray02_bc.bctex
noise_blured_blue actors\weapons\chozorobotsoldierbeam\fx\textures\noise_blured_blue.bctex
magmeltrockplatform01_at maps\textures\magmeltrockplatform01_at.bctex
chozomatmetalyellow02_bc maps\textures\chozomatmetalyellow02_bc.bctex
texturetext_ls gui\textures\texturetext_ls.bctex
lava_explosion00_anim_pos2 maps\fx\lavasplashes\textures\lava_explosion00_anim_pos2.bctex
chozomatmetalpurple02_nm maps\textures\chozomatmetalpurple02_nm.bctex
noise_organic000 system\fx\textures_zdr\noise_organic000.bctex
chozomatpipes10_at maps\textures\chozomatpipes10_at.bctex
cavpathrockmod01_bc maps\textures\cavpathrockmod01_bc.bctex
prueba_cm_edit_2specularhdr maps\cubemaps\pruebas\prueba_cm_edit_2specularhdr.bctex
infester_at actors\characters\infester\models\textures\infester_at.bctex
clearblue02_bc maps\textures\clearblue02_bc.bctex
chozopyramidcol maps\textures\chozopyramidcol.bctex
zero_head_bc actors\characters\samus\models\textures\zero_head_bc.bctex
pistil_dead_nm actors\characters\hydrogiga\models\textures\pistil_dead_nm.bctex
emmy5_test_01diffusehdr maps\cubemaps\pruebas\emmy5_test_01diffusehdr.bctex
aquarock03x4salt_bc maps\textures\aquarock03x4salt_bc.bctex
magmeltrockwall01x4_at maps\textures\magmeltrockwall01x4_at.bctex
cavpathrockmod01v3_bc maps\textures\cavpathrockmod01v3_bc.bctex
hologramscreen02_bc maps\textures\hologramscreen02_bc.bctex
decaltest01_nm maps\textures\decaltest01_nm.bctex
capsuleelevatorskybasea_at actors\props\capsuleelevatorskybase\models\textures\capsuleelevatorskybasea_at.bctex
chozobgpipes01_bc maps\textures\chozobgpipes01_bc.bctex
chozowarrior_body_02_at actors\characters\chozowarrior\models\textures\chozowarrior_body_02_at.bctex
lockonmissile_at actors\weapons\lockonmissile\models\textures\lockonmissile_at.bctex
chozomatpipes09_nm maps\textures\chozomatpipes09_nm.bctex
texturetext_dupdown gui\textures\texturetext_dupdown.bctex
shaft_orange_cone system\fx\textures_zdr\shaft_orange_cone.bctex
chozomatmetalpurple02_bc maps\textures\chozomatmetalpurple02_bc.bctex
chozomatconcretepattern04_nm maps\textures\chozomatconcretepattern04_nm.bctex
chozomatmetalyellow07_bc maps\textures\chozomatmetalyellow07_bc.bctex
chozoshipasset01_nm maps\textures\chozoshipasset01_nm.bctex
visor_samus system\dev\visor_samus.bctex
emmyzoneholograms00 maps\fx\emmyzoneletters00\fx\textures\emmyzoneholograms00.bctex
waves actors\weapons\emmywave\fx\textures\waves.bctex
aura_n0 cutscenes\0003firstcomunicationfakeadam\fx\textures\aura_n0.bctex
commanderheadclean_nm actors\characters\chozocommander\models\textures\commanderheadclean_nm.bctex
deviceheat_bc actors\props\deviceheat\models\textures\deviceheat_bc.bctex
cavcolumnrock01_nm maps\textures\cavcolumnrock01_nm.bctex
alpha_ramp maps\objects\fxwaterfallcave01\textures\alpha_ramp.bctex
test_agua system\fx\textures\test_agua.bctex
powerbeam_charged_backtwist system\fx\textures_zdr\powerbeam_charged_backtwist.bctex
chozopathemmy01x4_nm maps\textures\chozopathemmy01x4_nm.bctex
scorpiustail_at actors\characters\scorpius\models\textures\scorpiustail_at.bctex
lava_splashes_02 system\fx\textures_zdr\lava_splashes_02.bctex
bomb_explosion_line system\fx\textures_zdr\bomb_explosion_line.bctex
sphereenergynoise system\fx\textures_zdr\sphereenergynoise.bctex
